Code,Area,Year,Measure,Value
E09000001,City of London,Year ending Dec 1995,Median,"105,000"
E09000002,Barking and Dagenham,Year ending Dec 1995,Median,"49,000"
E09000003,Barnet,Year ending Dec 1995,Median,"85,125"
E09000004,Bexley,Year ending Dec 1995,Median,"62,000"
E09000005,Brent,Year ending Dec 1995,Median,"68,000"
E09000006,Bromley,Year ending Dec 1995,Median,"76,625"
E09000007,Camden,Year ending Dec 1995,Median,"114,000"
E09000008,Croydon,Year ending Dec 1995,Median,"60,000"
E09000009,Ealing,Year ending Dec 1995,Median,"75,000"
E09000010,Enfield,Year ending Dec 1995,Median,"66,000"
E09000011,Greenwich,Year ending Dec 1995,Median,"61,500"
E09000012,Hackney,Year ending Dec 1995,Median,"61,975"
E09000013,Hammersmith and Fulham,Year ending Dec 1995,Median,"109,500"
E09000014,Haringey,Year ending Dec 1995,Median,"66,500"
E09000015,Harrow,Year ending Dec 1995,Median,"79,950"
E09000016,Havering,Year ending Dec 1995,Median,"66,375"
E09000017,Hillingdon,Year ending Dec 1995,Median,"71,000"
E09000018,Hounslow,Year ending Dec 1995,Median,"73,000"
E09000019,Islington,Year ending Dec 1995,Median,"95,000"
E09000020,Kensington and Chelsea,Year ending Dec 1995,Median,"172,750"
E09000021,Kingston upon Thames,Year ending Dec 1995,Median,"81,000"
E09000022,Lambeth,Year ending Dec 1995,Median,"66,000"
E09000023,Lewisham,Year ending Dec 1995,Median,"55,500"
E09000024,Merton,Year ending Dec 1995,Median,"74,450"
E09000025,Newham,Year ending Dec 1995,Median,"46,750"
E09000026,Redbridge,Year ending Dec 1995,Median,"67,995"
E09000027,Richmond upon Thames,Year ending Dec 1995,Median,"108,000"
E09000028,Southwark,Year ending Dec 1995,Median,"71,000"
E09000029,Sutton,Year ending Dec 1995,Median,"67,000"
E09000030,Tower Hamlets,Year ending Dec 1995,Median,"67,500"
E09000031,Waltham Forest,Year ending Dec 1995,Median,"55,000"
E09000032,Wandsworth,Year ending Dec 1995,Median,"85,500"
E09000033,Westminster,Year ending Dec 1995,Median,"127,550"
