Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,#,#,#,#,#,#,#,762.4,16.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,902,19,#,#
00AB,Barking and Dagenham,383.3,5.5,354.9,6.5,360.1,5.2,375.1,5.1,417.6,6.0,446.7,6.4,449.9,6.5,448.8,6.8,429.3,5.6,452.1,5.3,450.0,6.2,441.2,6.2,422.5,4.9,436.6,5.4,462.2,4.5,461.0,5.1,479.1,4.9,472.9,6.2
00AC,Barnet,427.4,5.1,450.1,5.0,453.3,5.6,442.3,5.3,466.1,5.7,460.0,5.6,502.2,5.0,528.1,5.5,501.6,5.7,498.3,4.9,503.1,5.1,517.5,4.4,479.1,4.0,491.0,4.9,485.6,5.4,522.6,4.5,536.6,4.8,536.6,4.4
00AD,Bexley,405.0,5.0,431.9,5.1,438.1,5.5,452.4,5.3,443.4,4.8,469.8,5.5,483.9,6.0,486.3,4.6,518.1,4.4,505.1,4.9,509.1,4.8,497.9,4.6,512.6,4.6,491.1,4.8,487.0,5.6,513.0,4.6,513.8,5.3,550.2,5.2
00AE,Brent,368.4,5.8,359.8,5.0,395.5,5.4,394.7,4.4,398.7,5.0,421.6,4.9,437.0,5.5,439.1,4.9,423.1,4.7,414.9,4.8,442.0,4.3,441.8,4.5,441.8,4.5,457.6,4.1,467.0,4.2,471.0,4.7,480.0,3.9,524.6,4.0
00AF,Bromley,440.1,5.1,449.2,4.8,461.2,4.5,464.8,4.5,479.5,4.3,506.3,5.0,546.0,5.5,545.6,3.6,527.2,4.3,551.7,4.0,566.6,4.2,581.1,4.0,578.5,4.4,583.8,4.0,584.3,4.6,608.0,4.8,632.5,4.3,641.3,5.0
00AG,Camden,470.8,7.2,491.1,4.5,507.9,4.3,541.0,5.5,552.2,4.5,592.6,4.9,614.6,7.1,621.1,5.2,583.0,3.8,612.0,4.8,612.0,5.0,629.5,6.1,613.1,6.7,588.1,6.4,632.5,5.7,614.3,4.1,634.7,6.2,653.6,6.3
00AH,Croydon,405.3,4.5,406.4,4.3,413.3,4.7,421.0,4.8,441.6,3.7,454.0,4.4,481.6,4.2,496.0,3.3,515.5,3.3,481.7,3.8,493.2,3.0,481.4,3.2,499.0,3.3,492.2,3.8,512.3,3.7,538.5,3.9,552.0,3.9,559.9,3.9
00AJ,Ealing,431.5,3.9,448.5,4.0,444.2,3.9,437.8,5.0,452.0,3.3,465.3,3.8,504.1,3.5,498.9,3.6,494.5,3.5,486.6,3.5,495.0,4.1,502.1,3.2,498.4,3.2,495.7,4.2,498.3,3.6,517.2,3.0,523.0,4.4,532.0,3.8
00AK,Enfield,363.1,4.6,377.1,5.7,386.0,5.0,408.1,5.0,409.6,5.0,448.7,4.7,424.9,5.1,460.2,4.4,439.4,5.1,475.8,4.5,455.4,4.2,450.3,4.7,462.8,5.2,473.6,4.9,463.9,4.5,479.8,4.4,479.1,4.5,482.5,4.8
00AL,Greenwich,401.3,5.5,430.4,5.6,441.8,5.9,405.0,5.2,456.3,4.3,456.2,6.3,480.8,6.1,513.2,5.5,488.7,5.2,488.0,5.0,470.5,5.9,516.5,4.2,509.1,4.2,532.5,4.2,539.3,4.5,553.0,3.4,573.7,3.4,575.8,4.6
00AM,Hackney,387.1,6.2,395.2,6.0,411.1,6.3,432.1,6.4,428.8,5.0,451.1,5.8,472.6,5.8,503.7,4.3,501.3,5.3,517.4,4.3,511.4,4.9,519.0,3.9,513.0,4.8,534.5,4.2,527.8,3.9,558.1,4.1,555.6,3.8,574.9,5.0
00AN,Hammersmith and Fulham,492.8,6.0,498.3,5.6,512.0,7.3,490.7,6.0,545.7,5.2,546.2,7.4,584.8,6.8,585.1,6.6,596.9,5.1,594.1,5.2,613.3,4.8,610.7,5.4,609.9,4.7,646.7,4.1,641.9,4.6,651.1,4.1,681.3,4.2,725.8,4.4
00AP,Haringey,384.9,5.9,429.4,5.4,437.3,6.2,438.3,5.7,455.0,4.8,462.9,6.2,498.4,5.0,489.3,4.9,495.7,4.8,471.8,4.4,489.1,5.4,464.6,4.8,467.7,5.3,500.0,3.8,481.9,5.1,525.3,5.0,548.1,4.1,543.3,5.5
00AQ,Harrow,378.1,5.8,417.1,5.3,407.5,5.4,430.9,4.6,459.9,5.8,460.7,6.0,479.1,6.4,494.3,4.5,506.1,5.6,487.7,5.1,471.7,5.9,478.9,4.9,492.3,4.5,505.1,4.3,522.8,4.5,543.4,4.2,538.3,5.0,580.5,4.7
00AR,Havering,385.1,6.2,413.4,5.0,449.3,5.2,463.9,5.4,424.9,5.3,455.8,5.8,506.4,5.3,485.7,4.3,493.7,4.7,505.3,4.2,500.9,4.8,489.7,4.6,499.1,4.4,517.5,4.0,532.6,4.5,534.2,5.3,544.2,4.0,568.3,4.2
00AS,Hillingdon,396.3,4.1,414.4,4.3,431.5,4.5,431.3,4.1,439.3,3.9,469.6,4.2,479.1,4.2,480.0,3.6,499.8,4.5,497.4,4.6,509.7,3.9,522.2,3.6,492.5,4.6,498.8,4.1,499.8,3.8,500.4,2.9,531.9,3.4,543.7,3.7
00AT,Hounslow,388.6,5.3,395.6,5.2,400.1,5.8,413.9,5.5,432.6,4.2,453.6,5.1,435.0,4.8,469.3,4.2,479.0,4.2,473.2,4.2,479.1,4.3,479.1,4.3,463.5,3.9,495.6,3.4,500.9,3.9,517.0,3.8,535.9,3.8,543.9,5.2
00AU,Islington,465.0,5.4,472.0,5.9,499.0,5.2,532.5,4.5,503.7,5.1,517.5,6.4,566.7,5.1,588.2,4.5,599.0,4.1,598.5,4.8,605.1,4.5,606.0,5.0,613.5,5.3,603.7,5.3,613.3,4.8,646.1,4.5,687.6,5.7,699.0,4.3
00AW,Kensington and Chelsea,601.5,10.0,612.7,11.0,691.6,12.0,733.0,11.0,670.9,11.0,689.9,9.2,774.7,8.9,805.2,11.0,791.5,10.0,793.9,9.3,655.0,10.0,726.7,9.6,641.3,11.0,632.4,9.6,651.6,6.9,784.4,6.7,669.3,11.0,772.1,11.0
00AX,Kingston upon Thames,435.7,6.7,441.5,6.4,460.7,6.0,479.0,6.3,499.8,5.4,527.4,5.5,516.7,6.2,566.2,6.1,544.4,5.8,579.8,5.7,601.1,5.4,604.2,5.9,556.5,6.7,574.6,6.4,566.7,6.5,579.9,6.8,627.1,6.7,623.0,6.5
00AY,Lambeth,404.3,5.2,425.5,4.7,446.7,4.0,460.3,3.5,455.6,4.0,490.7,4.1,494.5,4.7,522.4,3.9,574.9,3.8,536.7,4.2,574.8,3.7,536.6,4.0,547.0,3.1,542.9,3.5,551.7,3.2,594.6,3.3,620.4,3.3,633.6,4.0
00AZ,Lewisham,394.9,4.4,429.6,5.2,425.1,5.8,431.8,5.5,431.4,5.1,436.4,4.3,446.4,4.7,486.9,3.7,492.7,4.0,473.2,3.8,499.6,4.5,525.5,4.0,518.5,4.0,517.5,4.4,520.6,4.6,535.2,4.3,551.4,3.7,552.5,4.0
