PostalCode,Borough,Neighbourhood,address
M1B,Scarborough,"Malvern, Rouge","Scarborough, Malvern, Rouge"
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek","Scarborough, Rouge Hill, Port Union, Highland Creek"
M1E,Scarborough,"Guildwood, Morningside, West Hill","Scarborough, Guildwood, Morningside, West Hill"
M1G,Scarborough,Woburn,"Scarborough, Woburn"
M1H,Scarborough,Cedarbrae,"Scarborough, Cedarbrae"
M1J,Scarborough,Scarborough Village,"Scarborough, Scarborough Village"
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park","Scarborough, Kennedy Park, Ionview, East Birchmount Park"
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge","Scarborough, Golden Mile, Clairlea, Oakridge"
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West","Scarborough, Cliffside, Cliffcrest, Scarborough Village West"
M1N,Scarborough,"Birch Cliff, Cliffside West","Scarborough, Birch Cliff, Cliffside West"
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre","Scarborough, Dorset Park, Wexford Heights, Scarborough Town Centre"
M1R,Scarborough,"Wexford, Maryvale","Scarborough, Wexford, Maryvale"
M1S,Scarborough,Agincourt,"Scarborough, Agincourt"
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan","Scarborough, Clarks Corners, Tam O'Shanter, Sullivan"
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East","Scarborough, Milliken, Agincourt North, Steeles East, L'Amoreaux East"
M1W,Scarborough,"Steeles West, L'Amoreaux West","Scarborough, Steeles West, L'Amoreaux West"
M1X,Scarborough,Upper Rouge,"Scarborough, Upper Rouge"
M2H,North York,Hillcrest Village,"North York, Hillcrest Village"
M2J,North York,"Fairview, Henry Farm, Oriole","North York, Fairview, Henry Farm, Oriole"
M2K,North York,Bayview Village,"North York, Bayview Village"
M2L,North York,"York Mills, Silver Hills","North York, York Mills, Silver Hills"
M2M,North York,"Willowdale, Newtonbrook","North York, Willowdale, Newtonbrook"
M2N,North York,"Willowdale, Willowdale East","North York, Willowdale, Willowdale East"
M2P,North York,York Mills West,"North York, York Mills West"
M2R,North York,"Willowdale, Willowdale West","North York, Willowdale, Willowdale West"
M3A,North York,Parkwoods,"North York, Parkwoods"
M3B,North York,Don Mills,"North York, Don Mills"
M3C,North York,Don Mills,"North York, Don Mills"
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North","North York, Bathurst Manor, Wilson Heights, Downsview North"
